Đường,Phường,Quận/Huyện,Thành phố,duration_days,price,acreage,package,category,public_date,expired_date,ad_type,target_renter
Hương lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,0,2.2, 20m,Tin thường,Phòng trọ Quận Bình Tân,28/10/2024 19:42,28/10/2024 23:10,Phòng trọ,Tất cả
80/12/200B Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Hồ Chí Minh,0,1.55, 80m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 06:35,31/10/2024 09:11,Phòng trọ,Tất cả
44/14 Đường Đông Hưng Thuận 6,Phường Tân Hưng Thuận,Quận 12,Hồ Chí Minh,0,6.5, 70m,Tin miễn phí,Cho thuê nhà Quận 12,31/10/2024 07:54,31/10/2024 09:03,Nhà thuê nguyên căn,Tất cả
Đường Cách Mạng Tháng Tám,Phường 10,Quận 3,Hồ Chí Minh,5,16, 98m,Tin miễn phí,Cho thuê căn hộ Quận 3,26/10/2024 16:17,31/10/2024 16:17,Cho thuê căn hộ,Tất cả
84/11 D6 Đường số 13,Phường Thạnh Xuân,Quận 12,Hồ Chí Minh,,2.8, 36m,Tin thường,Cho thuê nhà Quận 12,,28/10/2024 20:32,Nhà thuê nguyên căn,Tất cả
Đường Trần Trọng Cung,Phường Tân Thuận Đông,Quận 7,Hồ Chí Minh,0,8, 50m,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,26/10/2024 10:23,26/10/2024 21:38,Cho thuê căn hộ dịch vụ,Tất cả
Đường Nguyễn Thị Thập,Phường Tân Quy,Quận 7,Hồ Chí Minh,,7.5, 40m,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,26/10/2024 10:23,,Cho thuê căn hộ dịch vụ,Tất cả
Đường Nguyễn Thị Thập,Phường Bình Thuận,Quận 7,Hồ Chí Minh,5,6, 35m,Tin thường,Phòng trọ Quận 7,26/10/2024 10:24,31/10/2024 10:24,Phòng trọ,Tất cả
Đường Lê Văn Huân,Phường 13,Quận Tân Bình,Hồ Chí Minh,5,3.3, 25m,Tin thường,Phòng trọ Quận Tân Bình,26/10/2024 10:24,31/10/2024 10:24,Phòng trọ,Tất cả
Đường Hòa Bình,Phường Hiệp Tân,Quận Tân Phú,Hồ Chí Minh,5,3.3, 35m,Tin thường,Phòng trọ Quận Tân Phú,26/10/2024 00:33,31/10/2024 00:33,Phòng trọ,Tất cả
Đường Hồng Hà,Phường 2,Quận Tân Bình,Hồ Chí Minh,5,5.4, 45m,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình,26/10/2024 00:33,31/10/2024 00:33,Cho thuê căn hộ dịch vụ,Tất cả
Đường Lê Văn Quới,Phường Bình Trị Đông,Quận Bình Tân,Hồ Chí Minh,2,4.5, 35m,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Tân,26/10/2024 01:20,28/10/2024 01:28,Cho thuê căn hộ dịch vụ,Tất cả
Phan Xích Long,Phường 1,Quận Phú Nhuận,Hồ Chí Minh,5,5.7, 40m,Tin thường,Cho thuê căn hộ dịch vụ Quận Phú Nhuận,26/10/2024 00:33,31/10/2024 00:33,Cho thuê căn hộ dịch vụ,Tất cả
Đường Tân Hương,Phường Tân Quý,Quận Tân Phú,Hồ Chí Minh,5,4.1, 40m,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Phú,26/10/2024 00:33,31/10/2024 00:33,Cho thuê căn hộ dịch vụ,Tất cả
Hoàng Văn Thụ,Phường 4,Quận Tân Bình,Hồ Chí Minh,5,6.3, 40m,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình,26/10/2024 00:34,31/10/2024 00:34,Cho thuê căn hộ dịch vụ,Tất cả
Đường Trường Sơn,Phường 2,Quận Tân Bình,Hồ Chí Minh,0,5, 40m,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình,26/10/2024 00:32,26/10/2024 00:33,Cho thuê căn hộ dịch vụ,Tất cả
Phố Lê Trọng Tấn,Phường Sơn Kỳ,Quận Tân Phú,Hồ Chí Minh,0,3.9, 35m,Tin thường,Phòng trọ Quận Tân Phú,26/10/2024 00:32,26/10/2024 00:32,Phòng trọ,Tất cả
Đường Lê Văn Sỹ,Phường 10,Quận Phú Nhuận,Hồ Chí Minh,5,7.1, 55m,Tin thường,Cho thuê căn hộ Quận Phú Nhuận,26/10/2024 00:34,31/10/2024 00:34,Cho thuê căn hộ,Tất cả
Cách Mạng Tháng Tám,Phường 11,Quận 3,Hồ Chí Minh,0,6.5, 50m,Tin thường,Cho thuê căn hộ dịch vụ Quận 3,26/10/2024 00:32,26/10/2024 00:34,Cho thuê căn hộ dịch vụ,Tất cả
Đường Phan Huy Ích,Phường 12,Quận Gò Vấp,Hồ Chí Minh,5,4.7, 40m,Tin thường,Phòng trọ Quận Gò Vấp,26/10/2024 00:33,31/10/2024 00:33,Phòng trọ,Tất cả
Đường Huỳnh Tấn Phát,Phường Phú Thuận,Quận 7,Hồ Chí Minh,5,6.2, 30m,Tin thường,Phòng trọ Quận 7,25/10/2024 23:07,30/10/2024 23:07,Phòng trọ,Tất cả
Đường Nguyễn Thái Sơn,Phường 3,Quận Gò Vấp,Hồ Chí Minh,5,4, 35m,Tin thường,Phòng trọ Quận Gò Vấp,26/10/2024 00:32,31/10/2024 00:32,Phòng trọ,Tất cả
Đường Nguyễn Văn Đậu,Phường 11,Quận Bình Thạnh,Hồ Chí Minh,0,6, 45m,Tin thường,Cho thuê căn hộ Quận Bình Thạnh,26/10/2024 00:32,26/10/2024 00:33,Cho thuê căn hộ,Tất cả
Cách Mạng Tháng Tám,Phường 10,Quận 3,Hồ Chí Minh,5,3.3, 22m,Tin thường,Phòng trọ Quận 3,26/10/2024 06:30,31/10/2024 06:30,Phòng trọ,Tất cả
158/65 Đường số 9,Phường 9,Quận Gò Vấp,Hồ Chí Minh,5,2.7, 18m,Tin miễn phí,Phòng trọ Quận Gò Vấp,26/10/2024 06:39,31/10/2024 06:39,Phòng trọ,Tất cả
K94 Nguyễn Công Trứ,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,3,2.7, 21m,Tin thường,Phòng trọ Quận Sơn Trà,26/10/2024 07:00,29/10/2024 07:00,Phòng trọ,Tất cả
743/19 Đường Tỉnh Lộ 10,Phường Bình Trị Đông,Quận Bình Tân,Hồ Chí Minh,0,3.6, 24m,Tin thường,Phòng trọ Quận Bình Tân,26/10/2024 07:00,26/10/2024 13:23,Phòng trọ,Tất cả
743/19 Đường Tỉnh Lộ 10,Phường Bình Trị Đông B,Quận Bình Tân,Hồ Chí Minh,0,3.6, 24m,Tin thường,Phòng trọ Quận Bình Tân,26/10/2024 07:00,26/10/2024 13:22,Phòng trọ,Tất cả
743/19 Đường Tỉnh Lộ 10,Phường Bình Trị Đông B,Quận Bình Tân,Hồ Chí Minh,0,3.5, 24m,Tin thường,Phòng trọ Quận Bình Tân,26/10/2024 07:01,26/10/2024 13:22,Phòng trọ,Nữ
Đường Trần Xuân Soạn,Phường Tân Kiểng,Quận 7,Hồ Chí Minh,5,12, 35m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7,26/10/2024 11:19,31/10/2024 11:19,Cho thuê căn hộ dịch vụ,Tất cả
636 Đường Lê Văn Lương,Phường Tân Phong,Quận 7,Hồ Chí Minh,5,3.6, 28m,Tin miễn phí,Phòng trọ Quận 7,26/10/2024 11:46,31/10/2024 11:46,Phòng trọ,Tất cả
15/25B Đường số 8,Phường 11,Quận Gò Vấp,Hồ Chí Minh,5,3.2, 12m,Tin miễn phí,Phòng trọ Quận Gò Vấp,26/10/2024 08:58,31/10/2024 08:58,Phòng trọ,Nữ
3 Đường Thân Văn Nhiếp,Phường An Phú,Quận 2,Hồ Chí Minh,3,3.3, 23m,Tin thường,Phòng trọ Quận 2,26/10/2024 07:26,29/10/2024 07:26,Phòng trọ,Tất cả
743/19 Đường Tỉnh Lộ 10,Phường Bình Trị Đông B,Quận Bình Tân,Hồ Chí Minh,5,3.2, 24m,Tin thường,Phòng trọ Quận Bình Tân,26/10/2024 07:01,31/10/2024 07:01,Phòng trọ,Nữ
281/29 Lê Văn Sỹ,Phường 1,Quận Tân Bình,Hồ Chí Minh,5,3, 15m,Tin miễn phí,Phòng trọ Quận Tân Bình,26/10/2024 09:25,31/10/2024 09:25,Phòng trọ,Nữ
Đường Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,3,4.2, 20m,Tin thường,Phòng trọ Quận 4,26/10/2024 16:08,29/10/2024 16:08,Phòng trọ,Tất cả
48/13 Đường Lương Thế Vinh,Phường Tân Thới Hòa,Quận Tân Phú,Hồ Chí Minh,5,1.8, 20m,Tin thường,Phòng trọ Quận Tân Phú,26/10/2024 08:47,31/10/2024 08:47,Phòng trọ,Tất cả
Nguyễn Sơn,Phường Phú Thạnh,Quận Tân Phú,Hồ Chí Minh,5,11, 91m,Tin miễn phí,Cho thuê căn hộ Quận Tân Phú,26/10/2024 16:06,31/10/2024 16:06,Cho thuê căn hộ,Tất cả
743/19 Đường Tỉnh Lộ 10,Phường Bình Trị Đông B,Quận Bình Tân,Hồ Chí Minh,5,3.5, 22m,Tin thường,Phòng trọ Quận Bình Tân,26/10/2024 07:01,31/10/2024 07:01,Phòng trọ,Tất cả
153 Võ Văn Ngân,Phường Linh Chiểu,Quận Thủ Đức,Hồ Chí Minh,5,2.5, 20m,Tin thường,Phòng trọ Thủ Đức,26/10/2024 08:59,31/10/2024 08:59,Phòng trọ,Tất cả
743/19 Đường Tỉnh Lộ 10,Phường Bình Trị Đông B,Quận Bình Tân,Hồ Chí Minh,0,3.6, 24m,Tin thường,Phòng trọ Quận Bình Tân,26/10/2024 07:01,26/10/2024 13:21,Phòng trọ,Tất cả
Đường Lâm Văn Bền,Phường Tân Thuận Tây,Quận 7,Hồ Chí Minh,5,5.6, 32m,Tin miễn phí,Cho thuê căn hộ mini Quận 7,26/10/2024 09:26,31/10/2024 09:26,Cho thuê căn hộ mini,Tất cả
40F Đường Ao Đôi,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,5,8, 52m,Tin thường,Cho thuê mặt bằng Quận Bình Tân,26/10/2024 09:28,31/10/2024 09:28,Cho thuê mặt bằng,Tất cả
Đường Nguyễn Sỹ Sách,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,10, 93m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,26/10/2024 09:30,31/10/2024 09:30,Cho thuê căn hộ,Tất cả
189/8 Đường Đình Phong Phú,Phường Tăng Nhơn Phú B,Quận 9,Hồ Chí Minh,5,2.5, 18m,Tin thường,Phòng trọ Quận 9,26/10/2024 09:37,31/10/2024 22:14,Phòng trọ,Tất cả
Đường số 35,Phường Cát Lái,Quận 2,Hồ Chí Minh,,3.8, 20m,Tin thường,Phòng trọ Quận 2,26/10/2024 09:48,,Phòng trọ,Tất cả
564 Nguyễn Thái Học,Phường Quang Trung,Thành Phố Quy Nhơn,Bình Định,5,2.3, 15m,Tin thường,Phòng trọ Thành Phố Quy Nhơn,26/10/2024 09:49,31/10/2024 09:49,Phòng trọ,Tất cả
Hoàng Diệu,Phường Linh Trung,Thủ Đức,Hồ Chí Minh,0,1.6, 25m,Tin thường,Phòng trọ Thủ Đức,26/10/2024 10:04,26/10/2024 15:35,Phòng trọ,Tất cả
Phường Bình Hưng Hòa A,Quận Bình Tân,Hồ Chí Minh,,2,2.7, 25m,Tin miễn phí,Phòng trọ Quận Bình Tân,26/10/2024 10:13,29/10/2024 09:49,Phòng trọ,Tất cả
Đường Trường Chinh,Phường 14,Quận Tân Bình,Hồ Chí Minh,2,3.5, 25m,Tin miễn phí,Phòng trọ Quận Tân Bình,26/10/2024 10:13,29/10/2024 10:06,Phòng trọ,Tất cả
Nhất Chi Mai,Phường 13,Quận Tân Bình,Hồ Chí Minh,2,6.5, 35m,Tin miễn phí,Phòng trọ Quận Tân Bình,26/10/2024 10:13,29/10/2024 09:56,Phòng trọ,Tất cả
Đường Phan Huy Ích,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,10, 80m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,26/10/2024 10:20,31/10/2024 10:20,Cho thuê căn hộ,Tất cả
Mã Lò,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,5,4.5, 30m,Tin thường,Phòng trọ Quận Bình Tân,26/10/2024 10:20,31/10/2024 10:20,Phòng trọ,Tất cả
Đường Cộng Hòa,Phường 13,Quận Tân Bình,Hồ Chí Minh,,4.3, 20m,Tin miễn phí,Phòng trọ Quận Tân Bình,,29/10/2024 01:05,Phòng trọ,Tất cả
258 Đường Tân Sơn Nhì,Phường Tân Sơn Nhì,Quận Tân Phú,Hồ Chí Minh,,4, 30m,Tin thường,Phòng trọ Quận Tân Phú,,29/10/2024 09:55,Phòng trọ,Tất cả
223 Đường Tân Sơn,Phường 15,Quận Tân Bình,Hồ Chí Minh,,4.2, 30m,Tin thường,Phòng trọ Quận Tân Bình,,29/10/2024 09:55,Phòng trọ,Tất cả
Đường Tân Hương,Phường Tân Quý,Quận Tân Phú,Hồ Chí Minh,1,2.6, 30m,Tin thường,Phòng trọ Quận Tân Phú,28/10/2024 02:08,29/10/2024 20:16,Phòng trọ,Tất cả
Khuông Việt,Phường 5,Quận 11,Hồ Chí Minh,1,4.3, 25m,Tin thường,Phòng trọ Quận 11,28/10/2024 13:23,29/10/2024 22:46,Phòng trọ,Tất cả
Đường Hoàng Hoa Thám,Phường 13,Quận Tân Bình,Hồ Chí Minh,2,7.2, 40m,Tin thường,Cho thuê căn hộ mini Quận Tân Bình,28/10/2024 13:23,30/10/2024 14:58,Cho thuê căn hộ mini,Tất cả
Đường Lạc Long Quân,Phường 11,Quận Tân Bình,Hồ Chí Minh,1,6.1,"
                        35m",Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình,28/10/2024 13:23,29/10/2024 22:09,Cho thuê căn hộ dịch vụ,Tất cả
Yên Thế,Phường 2,Quận Tân Bình,Hồ Chí Minh,0,5.1, 30m,Tin thường,Phòng trọ Quận Tân Bình,28/10/2024 13:23,28/10/2024 20:30,Phòng trọ,Tất cả
Đường Bạch Đằng,Phường 2,Quận Tân Bình,Hồ Chí Minh,0,6, 35m,Tin thường,Phòng trọ Quận Tân Bình,28/10/2024 13:23,28/10/2024 20:31,Phòng trọ,Tất cả
Đường Hoàng Quốc Việt,Phường Phú Mỹ,Quận 7,Hồ Chí Minh,2,6, 30m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7,28/10/2024 13:34,30/10/2024 19:57,Cho thuê căn hộ dịch vụ,Tất cả
20 Đường số 12,Phường Tân Hưng,Quận 7,Hồ Chí Minh,1,6, 35m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7,28/10/2024 13:34,29/10/2024 16:21,Cho thuê căn hộ dịch vụ,Tất cả
89 Hoàng Quốc Việt,Phường Phú Thuận,Quận 7,Hồ Chí Minh,0,14, 64m,Tin thường,Cho thuê căn hộ Quận 7,28/10/2024 15:49,29/10/2024 06:49,Cho thuê căn hộ,Tất cả
Đường Lê Thúc Hoạch,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,2,2.7, 25m,Tin thường,Phòng trọ Quận Tân Phú,28/10/2024 13:56,31/10/2024 11:32,Phòng trọ,Tất cả
Phố Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,1,4.5, 30m,Tin thường,Phòng trọ Quận Tân Phú,28/10/2024 14:57,30/10/2024 14:00,Phòng trọ,Tất cả
Đường Âu Cơ,Phường Phú Trung,Quận Tân Phú,Hồ Chí Minh,1,4.2, 25m,Tin thường,Phòng trọ Quận Tân Phú,28/10/2024 13:23,29/10/2024 22:45,Phòng trọ,Tất cả
35CL,Phường Cát Lái,Quận 2,Hồ Chí Minh,1,4.6, 40m,Tin thường,Phòng trọ Quận 2,28/10/2024 16:00,30/10/2024 09:24,Phòng trọ,Tất cả
Đường Lê Thúc Hoạch,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,1,2.6, 28m,Tin thường,Phòng trọ Quận Tân Phú,28/10/2024 14:58,30/10/2024 13:59,Phòng trọ,Tất cả
Đường Hiền Vương,Phường Phú Thạnh,Quận Tân Phú,Hồ Chí Minh,3,4.5, 20m,Tin thường,Phòng trọ Quận Tân Phú,28/10/2024 15:39,31/10/2024 15:39,Phòng trọ,Tất cả
Đường Cao Triều Phát,Phường Tân Phong,Quận 7,Hồ Chí Minh,0,11.2, 50m,Tin thường,Cho thuê căn hộ mini Quận 7,28/10/2024 15:48,29/10/2024 06:49,Cho thuê căn hộ mini,Tất cả
Điện Biên Phủ,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,2,1.1, 35m,Tin thường,Phòng trọ Quận Bình Thạnh,28/10/2024 16:51,30/10/2024 17:26,Phòng trọ,Tất cả
165/12 Nguyễn Phúc Nguyên,Phường 10,Quận 3,Hồ Chí Minh,3,1.5, 12m,Tin thường,Phòng trọ Quận 3,28/10/2024 18:25,31/10/2024 18:25,Phòng trọ,Nam
117/17 Đường Nguyễn Hữu Cảnh,Phường 22,Quận Bình Thạnh,Hồ Chí Minh,5,7, 25m,Tin miễn phí,Cho thuê căn hộ Quận Bình Thạnh,26/10/2024 16:42,31/10/2024 16:42,Cho thuê căn hộ,Tất cả
Đường Trần Bình Trọng,Phường 5,Quận Bình Thạnh,Hồ Chí Minh,5,1.7, 28m,Tin miễn phí,Tìm người ở ghép Quận Bình Thạnh,26/10/2024 18:02,31/10/2024 18:02,Tìm người ở ghép,Nữ
Chung cư k300 Đường Quách Văn Tuấn,Phường 12,Quận Tân Bình,Hồ Chí Minh,5,0.00125, 60m,Tin miễn phí,Tìm người ở ghép Quận Tân Bình,26/10/2024 18:04,31/10/2024 18:04,Tìm người ở ghép,Nữ
Đường Trần Trọng Cung,Phường Tân Thuận Đông,Quận 7,Hồ Chí Minh,,8, 35m,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,26/10/2024 19:32,,Cho thuê căn hộ dịch vụ,Tất cả
689/19 Tô Ngọc Vân,Phường Tam Bình,Thủ Đức,Hồ Chí Minh,3,3.1, 20m,Tin thường,Phòng trọ Thủ Đức,26/10/2024 19:33,29/10/2024 21:48,Phòng trọ,Tất cả
139 Liên Phường,Phường Tăng Nhơn Phú A,Quận 9,Hồ Chí Minh,5,4.8, 45m,Tin thường,Phòng trọ Quận 9,26/10/2024 19:33,31/10/2024 19:33,Phòng trọ,Tất cả
Đường Chu Văn An,Phường 26,Quận Bình Thạnh,Hồ Chí Minh,,4.5, 25m,Tin thường,Phòng trọ Quận Bình Thạnh,,28/10/2024 13:32,Phòng trọ,Tất cả
Võ Thành Trang,Phường 11,Quận Tân Bình,Hồ Chí Minh,,3, 20m,Tin thường,Phòng trọ Quận Tân Bình,,29/10/2024 21:29,Phòng trọ,Tất cả
860/60X/39 Đường Xô Viết Nghệ Tĩnh,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,,6.5, 50m,Tin thường,Phòng trọ Quận Bình Thạnh,,28/10/2024 13:32,Phòng trọ,Tất cả
Đường Nguyễn Tử Nha,Phường 12,Quận Tân Bình,Hồ Chí Minh,,5.8, 25m,Tin thường,Cho thuê căn hộ mini Quận Tân Bình,,29/10/2024 14:05,Cho thuê căn hộ mini,Tất cả
Đường Nguyễn Công Hoan,Phường 7,Quận Phú Nhuận,Hồ Chí Minh,,13, 40m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Phú Nhuận,,,Cho thuê căn hộ dịch vụ,Tất cả
Đường Bình Tiên,Phường 8,Quận 6,Hồ Chí Minh,,2.9, 15m,Tin thường,Phòng trọ Quận 6,,30/10/2024 20:28,Phòng trọ,Tất cả
536A/1 Đường Xô Viết Nghệ Tĩnh,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,,6.5, 28m,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Thạnh,,30/10/2024 13:41,Cho thuê căn hộ dịch vụ,Tất cả
35CL,Phường Cát Lái,Quận 2,Hồ Chí Minh,,3.9, 24m,Tin thường,Phòng trọ Quận 2,,29/10/2024 08:25,Phòng trọ,Tất cả
Đường Bùi Đình Túy,Phường 22,Quận Bình Thạnh,Hồ Chí Minh,,4.2, 22m,Tin thường,Phòng trọ Quận Bình Thạnh,,28/10/2024 11:30,Phòng trọ,Tất cả
Võ Văn Hát,Phường Long Trường,Quận 9,Hồ Chí Minh,,3.5, 26m,Tin thường,Phòng trọ Quận 9,,,Phòng trọ,Tất cả
Đường Nguyễn Thị Thập,Phường Tân Quy,Quận 7,Hồ Chí Minh,,8, 40m,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,,28/10/2024 13:34,Cho thuê căn hộ dịch vụ,Tất cả
Đường Lê Thị Hồng,Phường 17,Quận Gò Vấp,Hồ Chí Minh,,3, 22m,Tin thường,Phòng trọ Quận Gò Vấp,,28/10/2024 11:30,Phòng trọ,Tất cả
Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,,4.5, 25m,Tin thường,Phòng trọ Quận Tân Phú,,,Phòng trọ,Tất cả
151 Đường Tây Thạnh,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,,3.1, 28m,Tin thường,Phòng trọ Quận Tân Phú,,31/10/2024 10:43,Phòng trọ,Tất cả
575 Đường Hậu Giang,Phường 11,Quận 6,Hồ Chí Minh,,3.7, 28m,Tin thường,Phòng trọ Quận 6,,31/10/2024 10:42,Phòng trọ,Tất cả
21 Đường Vườn Lài,Phường Phú Thọ Hòa,Quận Tân Phú,Hồ Chí Minh,,3.9, 30m,Tin thường,Phòng trọ Quận Tân Phú,,31/10/2024 10:42,Phòng trọ,Tất cả
964 Đường Hương lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,,2.3, 25m,Tin thường,Phòng trọ Quận Bình Tân,,31/10/2024 10:43,Phòng trọ,Tất cả
45 Lê Văn Huân,Phường 13,Quận Tân Bình,Hồ Chí Minh,,3.3, 30m,Tin thường,Phòng trọ Quận Tân Bình,,31/10/2024 10:42,Phòng trọ,Tất cả
293 Đường Bình Long,Phường Bình Hưng Hòa A,Quận Bình Tân,Hồ Chí Minh,,2.4, 252m,Tin thường,Phòng trọ Quận Bình Tân,,31/10/2024 10:43,Phòng trọ,Tất cả
Đường Ni Sư Huỳnh Liên,Phường 10,Quận Tân Bình,Hồ Chí Minh,,7, 40m,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình,,31/10/2024 10:42,Cho thuê căn hộ dịch vụ,Tất cả
427 Đường Lê Văn Quới,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,,4.5, 35m,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Tân,,31/10/2024 10:42,Cho thuê căn hộ dịch vụ,Tất cả
427 Đường Lê Văn Quới,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,,3.9, 28m,Tin thường,Phòng trọ Quận Bình Tân,,31/10/2024 10:42,Phòng trọ,Tất cả
14 Đường Hồ Văn Huê,Phường 9,Quận Phú Nhuận,Hồ Chí Minh,,4.5, 30m,Tin thường,Cho thuê căn hộ dịch vụ Quận Phú Nhuận,,31/10/2024 10:42,Cho thuê căn hộ dịch vụ,Tất cả
31 Đường Trịnh Đình Thảo,Phường Hòa Thạnh,Quận Tân Phú,Hồ Chí Minh,,4, 30m,Tin thường,Phòng trọ Quận Tân Phú,,29/10/2024 09:56,Phòng trọ,Tất cả
242 Thoại Ngọc Hầu,Phường Hòa Thạnh,Quận Tân Phú,Hồ Chí Minh,,4.6, 30m,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Phú,,29/10/2024 09:56,Cho thuê căn hộ dịch vụ,Tất cả
539 Đường Lũy Bán Bích,Phường Hòa Thạnh,Quận Tân Phú,Hồ Chí Minh,,4, 25m,Tin thường,Phòng trọ Quận Tân Phú,,29/10/2024 09:56,Phòng trọ,Tất cả
74 Đường Lạc Long Quân,Phường 11,Quận Tân Bình,Hồ Chí Minh,,5.3, 30m,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình,,29/10/2024 09:55,Cho thuê căn hộ dịch vụ,Tất cả
Xã Tân Lợi,Thành Phố Buôn Ma Thuột,Đắk Lắk,,,6, 120m,Tin miễn phí,Cho thuê nhà Thành Phố Buôn Ma Thuột,,31/10/2024 16:16,Nhà thuê nguyên căn,Tất cả
Nguyễn Thị Thập,Phường Tân Quy,Quận 7,Hồ Chí Minh,,6.5, 30m,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,,30/10/2024 09:29,Cho thuê căn hộ dịch vụ,Tất cả
Đường Phạm Văn Chiêu,Phường 8,Quận Gò Vấp,Hồ Chí Minh,0,3.8, 26m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 09:24,31/10/2024 17:45,Phòng trọ,Tất cả
Đường Huỳnh Tấn Phát,Phường Phú Mỹ,Quận 7,Hồ Chí Minh,0,3.9, 20m,Tin thường,Phòng trọ Quận 7,31/10/2024 09:46,31/10/2024 21:22,Phòng trọ,Tất cả
15 Đường Nguyễn Lương Bằng,Phường Phú Mỹ,Quận 7,Hồ Chí Minh,0,1.6, 12m,Tin thường,Phòng trọ Quận 7,31/10/2024 09:47,31/10/2024 21:24,Phòng trọ,Tất cả
Đường Hoàng Quốc Việt,Phường Phú Thuận,Quận 7,Hồ Chí Minh,0,20, 150m,Tin thường,Cho thuê mặt bằng Quận 7,31/10/2024 09:48,31/10/2024 21:23,Cho thuê mặt bằng,Tất cả
Trần Hưng Đạo,Phường Cô Giang,Quận 1,Hồ Chí Minh,0,4.9, 20m,Tin thường,Phòng trọ Quận 1,31/10/2024 10:05,31/10/2024 10:17,Phòng trọ,Tất cả
82 Đường Võ Thị Sáu,Phường Tân Định,Quận 1,Hồ Chí Minh,0,2, 40m,Tin thường,Phòng trọ Quận 1,31/10/2024 11:22,31/10/2024 14:05,Phòng trọ,Tất cả
477 Đường Âu Cơ,Phường Phú Trung,Quận Tân Phú,Hồ Chí Minh,0,1.5, 40m,Tin thường,Phòng trọ Quận Tân Phú,31/10/2024 11:22,31/10/2024 14:05,Phòng trọ,Tất cả
13 Phố Kỳ Đồng,Phường 9,Quận 3,Hồ Chí Minh,0,1.8, 40m,Tin thường,Phòng trọ Quận 3,31/10/2024 11:22,31/10/2024 14:06,Phòng trọ,Tất cả
Đường Lê Văn Tâm,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,-4,2, 25m,Tin thường,Phòng trọ Quận Ngũ Hành Sơn,30/03/2020 16:51,27/03/2020 11:17,Phòng trọ,Tất cả
441/22 Đường Nguyễn Đình Chiểu,Phường 5,Quận 3,Hồ Chí Minh,50,3.2, 16m,Tin thường,Phòng trọ Quận 3,04/10/2024 10:02,23/11/2024 10:02,Phòng trọ,Tất cả
274/9 Đường Nguyễn Văn Đậu,Phường 11,Quận Bình Thạnh,Hồ Chí Minh,,2.8, 16m,Tin miễn phí,Phòng trọ Quận Bình Thạnh,,01/11/2024 20:29,Phòng trọ,Tất cả
Đường Tô Hiến Thành,Phường 14,Quận 10,Hồ Chí Minh,-1,0.95, 99m,Tin thường,Phòng trọ Quận 10,11/07/2024 12:47,11/07/2024 10:32,Phòng trọ,Tất cả
Đường Lũy Bán Bích,Phường Tân Thới Hòa,Quận Tân Phú,Hồ Chí Minh,-150,3.9, 25m,Tin thường,Phòng trọ Quận Tân Phú,08/10/2024 17:15,11/05/2024 20:56,Phòng trọ,Tất cả
